model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
logistic_regression,0.7858318777939295,0.03857352052797867,0.12379178823914656,0.023982271498359797,0.09197346839691925,0.01062758488785724,0.6510382513661203,0.09941721548418705,0.16107387677834445,0.018842832397527744
random_forest,0.8048788095126594,0.024711588631860102,0.13993274768033692,0.027563957003348898,0.5,0.5,0.009890710382513662,0.009029630951593778,0.01935483870967742,0.017668469596940843
xgboost,0.848014146004006,0.01137096446547577,0.1530892481535259,0.031005486119588987,0.11945195397245137,0.007327384111597236,0.5820218579234973,0.06601637964685401,0.19808029494070203,0.012918224149566912
