feature_1,feature_2,correlation,abs_correlation
Gemfibrozil,Antihypertensive_flag,0.0792157540193804,0.0792157540193804
age,TC:HDL_ratio,-0.07864961213277304,0.07864961213277304
FBS,Gemfibrozil,0.07853679198587603,0.07853679198587603
Antihypertensive_flag,stroke_flag,-0.07847823836771081,0.07847823836771081
age,AF,0.0776522424331239,0.0776522424331239
HDL,eGFR,0.07760249000447363,0.07760249000447363
age,Triglyceride,-0.07612097181186268,0.07612097181186268
age,FBS,-0.07576138802739545,0.07576138802739545
sex,bpd,-0.07553083147650755,0.07553083147650755
Cholesterol,heart_disease,-0.07490558718226326,0.07490558718226326
bps,Cholesterol,0.0739427799303107,0.0739427799303107
drinking,Gemfibrozil,0.07365131392887357,0.07365131392887357
Triglyceride,diabetes,0.07360807925750826,0.07360807925750826
height,eGFR,0.07328413571673316,0.07328413571673316
bw,Creatinine,-0.07183941149534542,0.07183941149534542
bpd,AF,-0.0717152963790076,0.0717152963790076
LDL,hypertension,0.07093916376094213,0.07093916376094213
Creatinine,Statin,0.07070902260573246,0.07070902260573246
bw,Gemfibrozil,0.0706539807719625,0.0706539807719625
bw,bps,0.07040532713256491,0.07040532713256491
smoke,bps,0.06996344156030795,0.06996344156030795
drinking,Cholesterol,-0.06996307024774197,0.06996307024774197
Cholesterol,hypertension,0.06955075721995485,0.06955075721995485
LDL,stroke_flag,-0.06862040284392015,0.06862040284392015
age,stroke_flag,0.06856647645902125,0.06856647645902125
drinking,AF,0.06819193674535197,0.06819193674535197
Creatinine,TC:HDL_ratio,0.06780693308277089,0.06780693308277089
sex,Gemfibrozil,-0.06757285831770583,0.06757285831770583
LDL,eGFR,0.06746714845703189,0.06746714845703189
smoke,LDL,-0.06707638142745784,0.06707638142745784
Cholesterol,stroke_flag,-0.06649956721635564,0.06649956721635564
smoke,AF,0.06634684178221942,0.06634684178221942
FBS,heart_disease,0.0661917667042723,0.0661917667042723
diabetes,Statin,0.06588862737317046,0.06588862737317046
drinking,LDL,-0.06484882045088207,0.06484882045088207
sex,eGFR,0.0647336123121837,0.0647336123121837
bmi,Statin,0.0643470903485533,0.0643470903485533
smoke,Cholesterol,-0.06425636289072532,0.06425636289072532
LDL,heart_disease,-0.06411394197541409,0.06411394197541409
Cholesterol,Gemfibrozil,0.06291515950226434,0.06291515950226434
bps,LDL,0.06279463350051999,0.06279463350051999
sex,LDL,0.06185818250033684,0.06185818250033684
smoke,eGFR,-0.06152146986013743,0.06152146986013743
sex,diabetes,0.06140544330314315,0.06140544330314315
FBS,eGFR,-0.061044649693266576,0.061044649693266576
bmi,bps,0.06095472430075215,0.06095472430075215
bpd,diabetes,-0.060800027028744826,0.060800027028744826
eGFR,diabetes,-0.0599373762732163,0.0599373762732163
AF,heart_disease,0.0597114925574957,0.0597114925574957
AF,FBS,0.05918728184879238,0.05918728184879238
bmi,Cholesterol,0.057726181002736465,0.057726181002736465
AF,diabetes,0.05699102073697416,0.05699102073697416
height,Gemfibrozil,0.056179030336367765,0.056179030336367765
eGFR,Gemfibrozil,0.05599393281697786,0.05599393281697786
HDL,Statin,0.05484386794333302,0.05484386794333302
smoke,bpd,0.05400034740873974,0.05400034740873974
bpd,Statin,-0.0532320356624964,0.0532320356624964
Cholesterol,AF,-0.05213612396381047,0.05213612396381047
bpd,Gemfibrozil,0.05209846128333368,0.05209846128333368
bw,Statin,0.050926403428768106,0.050926403428768106
bps,TC:HDL_ratio,0.05087300066849453,0.05087300066849453
