model,fold,roc_auc,accuracy,precision,recall,f1
random_forest,1,0.9332711742895035,0.96805,0.3591905564924115,0.451271186440678,0.4
random_forest,2,0.9398072014127778,0.96965,0.3848797250859107,0.47357293868921774,0.4246445497630332
random_forest,3,0.9365325216801075,0.9693484674233712,0.372972972972973,0.4385593220338983,0.40311587147030187
xgboost,1,0.9218900804754926,0.86315,0.12586719524281467,0.8072033898305084,0.21777650757359246
xgboost,2,0.9324724231240076,0.864,0.1310344827586207,0.8435517970401691,0.22683342808413873
xgboost,3,0.9319223795301248,0.8664933246662333,0.13244147157190636,0.8389830508474576,0.22876949740034663
